,index,x,y,file
1085152,0,11053.9,9216.39,28.2_control_pri_ST.txt
1085153,1,8714.22,10131.2,28.2_control_pri_ST.txt
1085154,2,8730.92,10139.3,28.2_control_pri_ST.txt
1085155,3,7122.27,4070.06,28.2_control_pri_ST.txt
1085156,4,8724.14,10144.2,28.2_control_pri_ST.txt
1085157,5,7120.21,4065.48,28.2_control_pri_ST.txt
1085158,6,11374.8,16254.4,28.2_control_pri_ST.txt
1085159,7,7133.73,4050.1,28.2_control_pri_ST.txt
1085160,8,8736.3,10139.1,28.2_control_pri_ST.txt
1085161,9,13661.4,12238.0,28.2_control_pri_ST.txt
1085162,10,8818.6,8984.42,28.2_control_pri_ST.txt
1085163,11,6341.7,15199.8,28.2_control_pri_ST.txt
1085164,12,21704.2,5852.54,28.2_control_pri_ST.txt
1085165,13,4214.3,8104.05,28.2_control_pri_ST.txt
1085166,14,21706.5,5858.17,28.2_control_pri_ST.txt
1085167,15,13643.3,12208.7,28.2_control_pri_ST.txt
1085168,16,21693.5,5850.83,28.2_control_pri_ST.txt
1085169,17,13665.3,12232.5,28.2_control_pri_ST.txt
1085170,18,21707.3,5851.78,28.2_control_pri_ST.txt
1085171,19,13664.6,12237.4,28.2_control_pri_ST.txt
1085172,20,13653.1,12262.3,28.2_control_pri_ST.txt
1085173,21,21702.5,5834.02,28.2_control_pri_ST.txt
1085174,22,13670.5,12243.7,28.2_control_pri_ST.txt
1085175,23,13644.1,12213.7,28.2_control_pri_ST.txt
1085176,24,20179.4,7488.04,28.2_control_pri_ST.txt
1085177,25,13633.8,12236.8,28.2_control_pri_ST.txt
1085178,26,20179.7,7474.78,28.2_control_pri_ST.txt
1085179,27,3882.22,8078.69,28.2_control_pri_ST.txt
1085180,28,3891.33,8129.22,28.2_control_pri_ST.txt
1085181,29,13663.6,12256.0,28.2_control_pri_ST.txt
1085182,30,3857.08,12553.2,28.2_control_pri_ST.txt
1085183,31,13507.4,5250.24,28.2_control_pri_ST.txt
1085184,32,13654.0,12265.6,28.2_control_pri_ST.txt
1085185,33,3855.87,12559.7,28.2_control_pri_ST.txt
1085186,34,13649.7,12239.5,28.2_control_pri_ST.txt
1085187,35,1861.3,10899.2,28.2_control_pri_ST.txt
1085188,36,1867.93,10918.1,28.2_control_pri_ST.txt
1085189,37,12368.6,4393.66,28.2_control_pri_ST.txt
1085190,38,7919.31,8307.13,28.2_control_pri_ST.txt
1085191,39,7927.13,8283.18,28.2_control_pri_ST.txt
1085192,40,20300.0,14991.7,28.2_control_pri_ST.txt
1085193,41,20299.3,15014.6,28.2_control_pri_ST.txt
1085194,42,707.217,9413.47,28.2_control_pri_ST.txt
1085195,43,13673.5,12329.6,28.2_control_pri_ST.txt
1085196,44,14499.2,4201.6,28.2_control_pri_ST.txt
1085197,45,13640.6,12253.4,28.2_control_pri_ST.txt
1085198,46,13604.9,12315.4,28.2_control_pri_ST.txt
1085199,47,13026.8,1954.98,28.2_control_pri_ST.txt
1085200,48,13038.5,1953.4,28.2_control_pri_ST.txt
1085201,49,21603.1,800.792,28.2_control_pri_ST.txt
1085202,50,10090.6,1089.79,28.2_control_pri_ST.txt
